Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"U2","ATSAME54N19A","TQFP-100_14x14mm_P0.5mm",150.876000,-72.136000,0.000000,top
"U3","TJA1050T/CM,118","SOIC-8_3.9x4.9mm_P1.27mm",121.920000,-90.424000,0.000000,top
"U4","TJA1050T/CM,118","SOIC-8_3.9x4.9mm_P1.27mm",121.920000,-84.582000,0.000000,top
"U5","TJA1050T/CM,118","SOIC-8_3.9x4.9mm_P1.27mm",181.356000,-82.042000,0.000000,top
"U6","LM358","SOIC-8_3.9x4.9mm_P1.27mm",221.742000,-93.726000,0.000000,top
"U7","C238S","SO-4_4.4x4.3mm_P2.54mm",121.412000,-110.998000,-90.000000,top
"U10","C238S","SO-4_4.4x4.3mm_P2.54mm",106.680000,-110.998000,-90.000000,top
"U11","CC6903SO-20A","SOP-8_3.9x4.9mm_P1.27mm",81.534000,-74.676000,90.000000,top
"U13","CC6903SO-20A","SOP-8_3.9x4.9mm_P1.27mm",81.534000,-83.820000,90.000000,top
"U14","CC6903SO-20A","SOP-8_3.9x4.9mm_P1.27mm",81.534000,-65.532000,90.000000,top
"U15","CC6903SO-20A","SOP-8_3.9x4.9mm_P1.27mm",81.534000,-55.372000,90.000000,top
"U16","LM358","SOIC-8_3.9x4.9mm_P1.27mm",182.880000,-108.966000,180.000000,top
"U18","MCP3424","SOIC-14_3.9x8.7mm_P1.27mm",149.352000,-89.916000,0.000000,top
"U19","LM358","SOIC-8_3.9x4.9mm_P1.27mm",108.204000,-98.806000,180.000000,top
"U21","ACPL-C790-500E","SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm",136.144000,-102.616000,90.000000,top
"U22","ACPL-C790-500E","SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm",188.214000,-121.666000,90.000000,top
"U23","ACPL-C790-500E","SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm",179.070000,-121.666000,90.000000,top
"U24","ACPL-C790-500E","SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm",149.352000,-102.616000,90.000000,top
"U25","ACPL-C790-500E","SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm",162.560000,-102.616000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",146.304000,-42.926000,90.000000,top
"Y2","Crystal","Crystal_SMD_3215-2Pin_3.2x1.5mm",139.700000,-64.770000,-90.000000,top
